class,height,width,red,green,blue,hue,saturation,value
yellow_totem,1.24,0.25,106.61024844720497,106.6086956521739,11.892857142857142,27.248447204968944,228.67701863354037,106.61024844720497
red_totem,1.24,0.25,114.36206896551724,1.5086206896551724,1.5086206896551724,0.0,251.9051724137931,114.36206896551724
buoy_red,2.5,2.0,114.36206896551724,1.5086206896551724,1.5086206896551724,0.0,251.9051724137931,114.36206896551724
surmark950400,1.0,0.3,50.39489671931956,82.98845686512757,67.62029161603887,76.46233292831106,104.501822600243,82.98845686512757
red_totem,1.24,0.25,175.69454545454545,23.225454545454546,23.225454545454546,0.0,223.86909090909091,175.69454545454545
buoy_red,2.5,2.0,175.69454545454545,23.225454545454546,23.225454545454546,0.0,223.86909090909091,175.69454545454545
yellow_totem,1.24,0.25,116.837786259542,116.83460559796438,20.00254452926209,27.286259541984734,229.3759541984733,116.83842239185752
green_totem,1.24,0.25,24.027131782945737,135.66666666666666,21.56201550387597,54.82751937984496,227.62209302325581,135.66666666666666
black_totem,1.24,0.25,28.00502512562814,27.650753768844222,27.650753768844222,0.0,47.58165829145729,28.00502512562814
surmark950410,1.24,0.25,131.4433249370277,47.43073047858942,43.38371116708648,1.2334172963895886,170.7153652392947,131.4433249370277
surmark950410,1.24,0.25,80.99621621621621,32.66054054054054,30.184324324324326,1.0664864864864865,158.87405405405406,80.99621621621621
red_totem,1.24,0.25,107.4290909090909,15.058181818181819,15.058181818181819,0.0,221.57454545454544,107.4290909090909
buoy_red,2.5,2.0,107.4290909090909,15.058181818181819,15.058181818181819,0.0,221.57454545454544,107.4290909090909
yellow_totem,1.24,0.25,117.28402366863905,117.28402366863905,1.1124260355029585,30.0,253.63905325443787,117.28402366863905
red_totem,1.24,0.25,124.07342657342657,20.33916083916084,20.33916083916084,0.0,222.5909090909091,124.07342657342657
buoy_red,2.5,2.0,124.07342657342657,20.33916083916084,20.33916083916084,0.0,222.5909090909091,124.07342657342657
surmark46104,1.24,0.25,118.92857142857143,118.92455858747994,118.92455858747994,0.0,0.0056179775280898875,118.92857142857143
surmark950410,1.24,0.25,133.01191185229305,49.42227516378797,45.40917212626564,1.053603335318642,165.33531864204886,133.01191185229305
green_totem,1.24,0.25,28.762419006479483,112.92656587473003,28.70842332613391,49.179265658747305,205.61663066954645,112.93196544276458
surmark46104,1.24,0.25,116.94393741851368,116.91786179921773,116.91786179921773,0.11734028683181225,0.0378096479791395,116.94524119947849
polyform_a7,1.0,1.0,1.0806703039750585,0.5436477007014809,0.5436477007014809,0.0,25.71979734996103,1.0806703039750585
polyform_a5,0.68,0.68,1.0806703039750585,0.5436477007014809,0.5436477007014809,0.0,25.71979734996103,1.0806703039750585
polyform_a3,0.43,0.43,1.0806703039750585,0.5436477007014809,0.5436477007014809,0.0,25.71979734996103,1.0806703039750585
black_totem,1.24,0.25,22.740939597315435,22.338255033557047,22.338255033557047,0.0,80.35302013422819,22.740939597315435
black_totem,1.24,0.25,14.113240418118467,11.445993031358885,11.445993031358885,0.156794425087108,108.7630662020906,14.114982578397212
surmark950400,1.0,0.3,90.02674094707521,136.9314763231198,111.97270194986073,74.15320334261838,88.17771587743734,136.9314763231198
surmark46104,1.24,0.25,104.7797537619699,104.7797537619699,104.7797537619699,0.0,0.0,104.7797537619699
blue_totem,1.24,0.25,29.52,26.344444444444445,195.08666666666667,104.72,215.43555555555557,195.09333333333333
black_totem,1.24,0.25,0.5319148936170213,0.2712765957446808,0.2712765957446808,0.0,13.808510638297872,0.5319148936170213
polyform_a7,1.0,1.0,1.3670785173375848,0.6863292148266242,0.6863292148266242,0.0,36.876843363889996,1.3670785173375848
polyform_a5,0.68,0.68,1.3670785173375848,0.6863292148266242,0.6863292148266242,0.0,36.876843363889996,1.3670785173375848
polyform_a3,0.43,0.43,1.3670785173375848,0.6863292148266242,0.6863292148266242,0.0,36.876843363889996,1.3670785173375848
red_totem,1.24,0.25,102.79464285714285,0.17857142857142855,0.17857142857142855,0.0,254.59821428571428,102.79464285714285
buoy_red,2.5,2.0,102.79464285714285,0.17857142857142855,0.17857142857142855,0.0,254.59821428571428,102.79464285714285
green_totem,1.24,0.25,22.073929961089494,210.295719844358,18.392996108949415,54.3579766536965,227.41050583657588,210.295719844358
blue_totem,1.24,0.25,8.61904761904762,8.542857142857144,102.35238095238095,114.31428571428573,234.15238095238098,102.35238095238095
black_totem,1.24,0.25,26.679284963196633,26.35646687697161,26.35646687697161,0.0,80.04837013669821,26.679284963196633
green_totem,1.24,0.25,40.65966612816371,142.281098546042,38.897145934302635,48.025309639203016,200.30425417339796,142.281098546042
green_totem,1.24,0.25,36.193423597678915,205.00967117988395,32.77949709864603,51.85880077369439,216.18762088974856,205.00967117988395
surmark46104,1.24,0.25,153.90565085771948,153.90161453077698,153.90161453077698,0.0,0.004036326942482341,153.90565085771948
blue_totem,1.24,0.25,13.367424242424242,13.272727272727273,107.12878787878788,111.27651515151516,234.125,107.13257575757576
surmark46104,1.24,0.25,131.05524079320114,131.05949008498584,131.05949008498584,0.3824362606232295,0.0056657223796034,131.05949008498584
surmark950410,1.24,0.25,79.59711365003007,31.941671677690923,29.586289837642816,1.0,159.0174383644017,79.59711365003007
red_totem,1.24,0.25,106.83093525179856,18.320143884892087,18.320143884892087,0.0,221.26978417266187,106.83093525179856
buoy_red,2.5,2.0,106.83093525179856,18.320143884892087,18.320143884892087,0.0,221.26978417266187,106.83093525179856
red_totem,1.24,0.25,144.34782608695653,15.4,15.4,0.0,224.5782608695652,144.34782608695653
